label,text_,char_count
1,"when i'm buying googly eyes, i have the googly eyes of a lot of my students.  they're so colorful and cute.  i also love the fact that the eyes don't stay closed.  it's a good size for a little girl.  i like the fact that the eyes don't come with a lid.  i can't wait to see the eyes of all the kids.  this is a fun little toy for any girl.great product, very durable.my son loves this toy. the kids were excited about it, but it was a bit small. we had to put it away.",469
0,"a gripping tale about space exploration, the risk it entails, and the emotions involved.  it will make you look at deep space exploration in a new light.",153
0,"a mother/son road trip movie is sort of an uncharted journey in the film world. that made this a very unique film from the start.. based on an actual road trip that fogelman took with his mother is probably what makes the movie so real. streisand and rogen have great chemistry and since the movie is 80% just them, that is a godsend. joyce's constant need to interfere with andy's life in almost every aspect drives him crazy until an explosion of unexpected drama on the part of mother and son. there are so many funny lines and situations that the theatre was filled with laughter often. the movie could also take a very serious, moving turn which can move you to tears.
 streisand has always been an actress of immeasurable range from musicals (funny girl) to comedy (what's up doc?) to drama (the way we were) with each type being a blockbuster hit.  in her semi-retirement she works very seldom.  it took them a year to convince her to come back to her first lead role in many years.  her joyce is perhaps one of the most real characters she has ever played  stripped of glamour she wears track shoes and sneakers.  she is just a regular mother who lives for the happiness of her son.  rogen has rarely played such a straight character as andy.  anne fletcher has brought out the best of them both.  the climatic showdown is pure real dramatic that streisand delivers with a powerful punch that stuns the audience as much as andy.
. i liked everything about this film and can't wait to see it again. don't skip the end because there are a lot of clips after the credits of mother and son banter that is very funny.
this is a great film for parents and grown children. i wish my mother was still alive- i'd love to take her to see it.",1739
0,"for 6 month it worked quite well. leaks after a little over a year, and is difficult to clean thoroughly. also, it's impossible to find replacement charcoal filters that fit. i'm shopping for something with a different design.

after posting the above, i've thoroughly cleaned it, including the pump. now it works fine. so i'm changing it to 4 stars. the reason it's still not 5 stars is the difficulty getting filters that fit properly. i had to use a spring to wedge it against one side in order to properly seal it. otherwise the filter is just soaking in the water and not filtering anything.",596
1,un libro divertidisimo. escrito magistralmente. es uno su reo de la historia de la person,89
0,"maybe i didn't get the right size, but the underwire is killer.  on the left hand side, it pokes out and it rubs my arm... alot.  however, if it weren't for that, i think i would love it.  it is smooth and offers nice support....",229
1,"dirty harry is more than a little predictable.  the two main characters are just too predictable and predictable.  the movie is also a bit too long, and the first half is pretty straight forward.  the second half is a bit slow and the plot is rather pointless.  the first half is a bit more interesting and it also has a few more twists.  the second half is a bit more predictable and it also has a few more twists.  the third half is a bit more predictable and it also has a few more twists.  the third half is a bit more predictable and it also has a few more twists.

overall, i found this movie to be a fairly entertaining movie.  i would recommend it to anyone who enjoys comedies.  i guess it's a good way to start the summer.love the show and the actors.  we are not on the same page as the show but i will enjoy it.  great family movie for a family of four and of course the kids.  they loved it!  i would recommend this show to anyone who loves families!  i know it's not the best show but it's a",1005
1,not a book worth the time it took to read. i will admit that i was a bit nervous,80
1,"it's like a fanny pack, it's lightweight and comfortable.

the only reason i gave it 4 stars is that it's a bit small, but if you're a 4'2"" guy, this is a good size for you. if you're 5'3"" and weigh 200 lbs, this is a",217
1,"the image on the hallmark of this item is very close to the original, but the design has been removed so that the box is not visible. the box itself is a great size and is very well made",186
1,"this is a book about a boy and girl who are searching for love, friendship, and the strength to be together. the book is a good read, if you are looking for a quick romantic read.  it will give you a bit of everything.  i recommend it.i loved this book. i was hooked from the very beginning. i loved it. i can't wait to read the next book in the series. i'm on my way to reading the next book.i read this book in one sitting, and i absolutely loved it! i was so excited to read this story. the characters were real, and the story flowed perfectly. i could not put it down, and i loved this story. i will definitely be reading more of this series. i highly recommend it.this is a good story with lots of twists and turns. i would recommend this book to anyone.i really enjoyed the book.  it was a quick read.  i liked that the author didn't just draw me in.  i was very drawn to the characters.  i would recommend this book to anyone.  i received this book in exchange for an",974
1,"wow, the chemical smell is not real, the materials are thick and clingy, the material is",88
1,i used this tool to replace an old saw and it worked great. the saw was pretty sturdy and well made.,100
0,salt water fish eat them right up. only issue is they are small and seem broken up.,83
0,a great sculpt for an action figure and joy for the kids. one always needs some suoper villains for the superheroes to wage battle with.,136
1,this is the only fan that has the wide-open feature.  this is the only fan that,79
1,"great food, love the heart and flavors, and the quality is great.my dog loves this treat.i bought this for a friend's cat and she is a huge fan of it. it is a little hard",170
0,"i can't think of any words to express how utterly devastating this documentary is. through tragedy, this documentary seems like a sweet rememberance to a good friend, despite what the premise it is heart-warming the sentiment the friend (kurt) put effort into this documentary, until the story unfolds. nothing can prepare you for it; as a mother, a father, a grandmother, grandfather. it will squeeze your heart, and it's hard to breathe as it unravels.
the bagbys are so amazing, one can not fathom how strong they must be.",525
0,love this for under the litter box! makes cleaning a little easier,66
0,"james cameron has possibly given movies a new life where 2d movies just do not compare to a 3d visual sensory extravaganza. going to a theater once again feels worthwhile. this movie is possibly the closest you could get to experiencing what life could possibly be on another planet. i was constantly amazed at the little details like a shrinking plant, a lizard with a parachute thing, bio-connection with other lifeforms and so many other little things within the movie.

the story was not too unique and from a sci-fi perspective, there are better stories out there (enders game for example). but what this movie has done is to create a benchmark for a new genre of 3d computer generated movies. the benchmark being both in detail and production quality.

this is possibly the first time i have seen a movie where despite a lukewarm story, i still was 100% focused on the movie and left the theater with the feeling of having experienced a new civilization. it took me some time to digest all that i saw within this movie and i may do another trek to the theater to look at the finer details in the forests once more.

there is a strong eco-friendly and anti-war message throughout the movie with the good and bad guys clearly defined. this one is a monumental work and definitely worth watching.",1299
1,"i bought this ring to go with my birthday gift. i will be purchasing a second one in different colors. great price! i am a 32d, and the first ring i received was a 32d. it was a little big on me. i was worried it would be too small for my 2 year old, but it is a perfect size and it",282
1,"easy install, looks nice on my desk and the finish is good.  i have a large desk and a small desk.  i am using this with the toto e38 4-inch saw and it is very well",164
1,"doesn't work, makes your job harder. the only way to fix it is to just fix the",78
0,great product for the price.  very bright and the changing colors are great.,76
0,i enjoyed this and its characters - made me want to read more of this series. keeps you reading and not wanting to put the book down.,133
1,"i tried several times to find an easy way to connect the power supply to my computer, and the other two worked fine. i am using this with the trs-80a and the tx-41a. if you're thinking about buying one of these, you should also consider a 2. 5mm to 3mm adapter. i have one with a 3mm adapter, and i have a second one that i am using. the cord itself is very thick, and if you get it on the wrong side, it will get in the way. i have a spare cord, and the speaker is pretty sturdy. i don't use my car stereo in the car, so i have to keep a small ""plug"" in to turn the speaker on.",578
0,"healthy fish, clean aquarium, happy owner.

with these filters, the water is so clear. we change the filter once every few weeks.",129
0,"i can't believe half of things that went on in this book. i do know that hateful woman by the name, of sabrina well get hers in the end. how any woman could lie the way she did, is beyond crazy. my poor liam went through so much crazy stuff in his life. with seth back in his life, he can feel and love again. and kel he could not catch a break with, who was a father i mean that mother of his is really a shout. this book really was beyond complicated.",453
0,"i did an install job with this in a 96 land rover discovery. the cables made the length of the whole vehicle, they stripped easy, and made some pretty sharp corners. i will be using these again in future installs!",213
0,"these dough rolling guides are awesome. it's great that the set had three sizes. i needed a much thinner dough than i anticipated, so i just used the next size down and rolled again.  they worked great.
highly recommend.",220
0,"<div id=""video-block-rb4r8065rikf6"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/i/b19inxquqcs. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/i/91yiyoqfhos. png"" class=""video-slate-img-url"">&nbsp;don't buy it, it was defective from the beginning. burnt my first asus motherboard p9x79 ws with in first year but amazon customer replaced it and i got new asus rampage iv black edition. even after that my pc was never stable. in 2-3 years i never used it properly mostly used mac pro and mac book pro over the years, but i kept upgrading gpu inside my pc. a month ago i become serious about using this pc and fixing it. motherboard gave anti surge error and keep switch on and off in a loop with boot screen. on closer inspect 24 pin 2 cables was burnt and melted. pc spec
asus rampage iv black edition
gtx 780ti
gtx titan x
gtx 1080
gtx 1080
32 gb corsair vengeance ram
which i was never able to use for 2-3 hours continuously. my advise to buyers will be to get another established brand corsair / evga then rosewill. save you a lot of headache as power supply would be last place to check for faulty / unstable system
------
in video you can see its warranty seal isn't broken. and its inside is clean because it was unstable/defective power supply , so it has been hardly used as i also have dual xeon mac pro also. on top of headaches the power supply cause me i have to ship defective psu on my own cost.",1581
1,"i purchased two of these and have been using them in the past.  they work great and are a great value.  i am using them in the kitchen, in the kitchen, in the bathroom and in the hallway.  they are perfect for the kitchen and",225
0,"i can honestly say i am famous for my mashed potatoes within my family and my husband's family. every family dinner or get together that calls for mashed potatoes, there's no discussion on whose making it- everyone knows it's me. i'll take the title as the mashed potato master.

i have gone through endless amounts of potato mashers and have had handles fall off on me a few times. i just hated the design on them as i would get faitued easily. it's a workout- you'll definitely break a sweat mashing potatoes for 20 people!

when i saw this masher and the handle design i had to have it. upon opening the package, i was so excited when i picked it up and felt how comfortable it was in my hand, and most importantly how strong and sturdy it was. there is no flimsiness to it what so ever.

i put it to the test with loaded mashed potatoes (sour cream, chives, bacon, cheddar cheese, the works). you can apply much more pressure with little effort and mash more effectively without tiring yourself out. the consistency also turned out better. this is exactly what i needed! i will use this masher so often and i have no concerns of it failing on me. my family members all want one now too. thank you for making my job easier eternal chef! i have not yet used the peelers (i have my ""go to"" potato peeler i will not cheat on). this product was provided at a discounted price in exchange for my honest review.",1408
0,"i've owned many-a steam mops in my day, and while this is a great mop that heats up quickly and offers a bunch of nice features, i wouldn't pay the hundred and forty dollars they're asking for this. there are just too many other, cheaper models out there that get your floors just as clean.

now, if you're someone who sees yourself using the detachable handheld all the time, then this may be the steam mop for you. i thought i would use it all the time, but in reality i only used it once...the first day i got it.

the machine is light and easy to use while you're actually using it, but if you need to set it down, it's prone to tipping over due to it's shape.  the tank seems to go through water faster than other mops i've used, but maybe that's just me. or maybe the steam gets hotter than other mops i've used, so it goes through water quicker? i don't know, but i do know i have to fill the tank three times to get all the hardwood/tile/stone in my house done.

overall, would i recommend this mop? absolutely. i just don't think it's necessary for the amount of money it costs (unless you really want that detachable steamer). there are plenty of high-quality steam-mops out there for much cheaper.",1208
1,i bought 2 of these. they fit well and feel comfortable. the only reason i ordered 2 is because i had a bad run. the ring was not secure. the edge of the ring is not where it should be. if it was secure it would have been a little more comfortable.,248
1,"for the price it's pretty good. the only problem is that it's not really a stereo, but a pair of",96
0,"thank you k&h for such an innovative, well-designed product!  your unique tabs, all four of them, slid into place in about three seconds, and seems like they will be totally secure in place (at least for my dog) until i should choose to pull them out for whatever reason.

i struggled with my existing protector from kurgo.  the tabs just did not want to slide all the way down and stay down on my new 2018 lincoln mkx.  i didn't have much of a problem with my previous vehicle (2013 ford taurus), but on my new car, they just didn't fit.  plus, there was a big ""flap"" that stuck up along the window, making it rather unsightly.  the k&h product is literally flush with the top of the door.

plus, the price was much lower than the kurgo, also!  if you have struggled with the window tabs on your vehicle with other door protector products, at least give these a try.  they may be the answer for you as they were for me.",920
0,helps cool my memory mattress a little but not a lot.,53
0,i like this harmonica over others like it because i can clean it easily between uses.,85
0,fit perfect on a harbor freight super duty 4x8 trailer.,55
1,we received this item early and it arrived with a very good seal.  the dimensions are just right,96
1,"i was trying to find a set that would work for this toy.  i thought this one would be a great addition to the collection.  the box was a bit too large for this toy, so i decided to buy a smaller set.  this one is still fun and does the trick.  i have a few toys that i can't wait to put together.  i will say that this set has some really nice details and the sound effects are a must have for any star wars fan.  it is very well made, and the kids love",453
0,my son has only made his creations so far and hasn't used the large book with ideas of what you can make with the set.,118
1,"great crayons, especially for toddlers.  i love the colors and the smoothness of the",84
1,"only read if you want a sweet, sweet, romantic read.  this is a must read.i read this book in the last few days and have enjoyed it. the characters are well written and well developed. i would highly recommend this book.this was an excellent read. the characters were strong, likable, and the story line",303
0,"this scarf was so cute in person, so happy i bought it not to mention the price is great! super fast shipping and would no doubt buy again!",139
0,"works well. i've purchased a number of smaller computer accessories from mediabridge, and all have worked, and appeared as sturdy and well-make as, say, belkin. i'm happy to buy their stuff.",190
1,"three young women have been taken to the crystal city in search of answers to a mysterious crime. the story follows the story of the crystal city and the crystal city residents. the story is told from the perspective of the crystal city's residents. there are many twists and turns. the story also includes a fast paced twist. i thoroughly enjoyed the story. i highly recommend this book.i received a free copy of this book from the author for an honest review.

this book was so good. i loved it. i loved the character development, the characters, the story line. i enjoyed the writing and the flow of the book. i love the way the author takes a character from a historical book and turns them into a modern day hero. i can't wait to see what happens with the 3rd book in the series.

this book was a good read. i loved the story line and the characters. i would recommend this book to anyone who enjoys a good historical romance.i love this series and can't wait to read the next one.  the characters are well written and have great chemistry.",1045
0,"these shoes are the most comfortable shoes, i would buy another pair. they fit really well and there a great look.",114
1,"this is a must have for anyone who wants to try out a new bat for the first time.

i had a friend who was going to have a bat in a local store that had a similar bat and we were using it for batting practice. this bat was great and we loved it. it was a bit expensive but it was worth it and it fit our needs.

we just went to walmart and bought a new bat. it was $30 cheaper than the old bat and we were thrilled with the price. the bat was a little heavy so we put it in a bag with it and put it in a closet where it would be kept. we were able to put it in the cooler and we couldn't get it into the cooler. it was a good fit and we were able to bat practice with it.

it is a good bat and we are glad we purchased it. it is a great bat and i would recommend it to anyone.we bought this tent for our boat on the east coast of mexico.  it was amazing how warm and cozy it was.  it was easy to set up, and the tent itself was very spacious.  we were able to sleep in the tent while we were out on the water.  we could see the water",1032
1,"this is the sixth book in the the crystal queen series.

the crystal queen series has been a favorite",101
1,"i have two of these and have had no issues. i will update this review if i find any other problems.  the plastic parts are solid and the plastic is solid.  the metal part is well made and will last a long time.  this is an excellent product and should last long.  i have a few of these in the house and they are a great deal.  i just wish the lights were a little brighter and they will be brighter.this is a great tool for small jobs. it works well for smaller jobs. i'm not sure why i got it for this price, but it's definitely a good value.i've used this one to get around a ceiling fan on my garage. i don't know if it's the one that i've had since i was a kid, or the one that i used to use to get around the ceiling fan. it was very well made and was easy to install. it was easy to adjust the fan speed and the speed and the height of the fan. the height was easy to adjust, so you could adjust the height",912
0,"i loved desiree holt's book, joy ride.  as a matter of fact, i can honestly say that joy ride turned me into a rock band romance junky.  with that in mind, i'm here to tell you that aftershock, the sequel to joy ride, has more than satisfied my appetite for this sub-genre of romance.

aftershock is a truly amazing read.  in my opinion this story is even better than joy ride.  you do get to catch up on what's happening with the hero and heroine of joy ride, marc and emma, as well as getting to know the other members of the band lightnin' a bit better.  but you also get to meet sydney alexander, newly named promotions agent for the happening, new-on-the-scene band lightnin' who is hot, sexy yet somewhat troubled by some past life experiences and the nasty, bitter aunt who raised her after the death of her parents.  you get to learn more about rick trajean, leader of the band, lightnin' while savoring all the sweet, sexy details of how syd and rick fall for each other.  then hold on to your hats because things get a little wild when the nasty villain enters the picture.  let me tell you.  desiree holt writes the best villains and she sure doesn't disappoint in this story.  you are going to love hating this villain.

desiree holt is one of my absolute favorite authors.  i love her writing style.  her characters are always so real.  the story line is always sure, succinct and sure to grab your attention.  all this is true in aftershock but she goes beyond the usual.  i felt like i was really backstage listening to lightnin' perform during the concert and interacting with everyone after the concert while reading this book. i highly recommend this book for your reading pleasure.  aftershock is most definitely an off-the-charts #1 winner!",1760
0,this bucket has helped me minimize my car-camping gear.  i used this on my last trip as my shower bucket.  i have a battery powered shower head and this was the perfect amount of water for one quick shower.,206
1,poorly constructed. holds/ retains water better than the plastic bottles. i will keep my water in the cup.i bought this for a friend,132
0,"they are simple, sharp, and cut nicely. happy with them.",56
0,"we were happy with this random grab bag.  a few were some of the bengals favorites, a few they didn't care for, and a few somewhere in the middle.  happy with this purchase for the $$",183
1,"love these glasses. bought extra for my wife. great quality.

nice for the price.",81
1,i loved it and want more. the characters were well developed and kept my interest. i recommend this book.,105
0,"i watched it over two or three nights...before i had kids i would probably have just watched it straight through.  it's very well acted (the two leads are just giants) and provides a lot of local flavor; including religious and cultural lore---some of it tough to see.  it is very philosophical for those who haven't read the articles.  it is also gory and dark and shows some things that some people probably don't want or need to see, so not for everyone.  i also liked that the storyline ends at the end of the season; it is what it is with no chance for decline, sell-out, revisionism, inconsistency, et cetera.  i am looking forward to season 2 and to matthew mcconaughey's next effort.",691
1,"i'm sure it is great, but i wouldn't recommend it.  if you have a dog who is prone to allergies, this might not be the dog you're looking for.i have used this product for about a year and a half.  my cats don't seem to mind the taste.  i have a german shepherd and a german shepherd mix and these treats are great.  i just give them to them once a week and they seem to like it.  i'm not sure if i",397
0,"grainy, thin and my animals didn't like it.  threw it out.",58
0,"i've been using epi-otic ear cleaner on my beagle for 13 years. this is the brand my vet uses and works well. few days ago my pit bull was shaking his head a lot so i use this product to clean his ears (first time). later i notice his ears were all redish - pink.  i think he may be allergic to this product.  after a benadryl, he was back to normal in the morning.",365
1,bought this as a father's day gift and it's just what i needed!  i love,71
1,"cute product, my daughter really enjoys it and she loves using it in her playroom!very nice.i bought this for my son for christmas and he absolutely loves it. the only thing that i do like about it is the size of the hat. my son is 4 and loves to play with it. he's also the youngest one in the",294
1,"i bought this to quiet my puppy and she loves it.  she also loves the squeaker.i bought this for a friend who has a small dog and she had a very sensitive ear. she had no issues with it, which was great. this was recommended to me by her veterinarian and it's great for her to keep her ears clean. i'm very happy with this product. i just wish there was a collar that would have been more sensitive to the ear since she's not a chew eater.my dog is a",450
0,this stuff is awesome! it clumps really well and my little kittens track so much less litter! i was using one of the new litters that is really light weight and it stuck to their paws and got every where. this litter is barely on the floor at all. i'm very happy with it.,271
0,"just what i needed in the rv.  keeps tabs on battery, charges/runs anything usb that i have put on it and a 12volt socket to finish it off.",139
1,my 4 year old loves this toy and the materials are good. my 2 year old has a lot of fun with it.,96
0,"it is a nice little coin purse, but  i know the stenciled lettering will just not last very long, so i'll use it at home.",121
1,great slippers. have used them for a couple of weeks and i'm very happy with the quality and,92
0,"i bought this book for my four year old granddaughter, after having bought her two others by the same author.  room on the broom has become her favorite book.  she asks for it almost every night.  last week was book week at her pre-school, and the children were asked to come in a costume representing their favorite book. she was dressed just like the witch, completely down to the long orange braid, and the animals on the broom.  room on the broom was a big hit when it was read in class.  it's cleverly written in rhyme, and my granddaughter now knows room on the broom by heart.",583
0,i love this product. i also recommend this:http://goo. gl/ejdek5 for something you can reuse.,93
1,great product and it makes cleaning my puppy's coat a breeze.  my puppy loves this and we have two small dogs and i,115
0,"powerful and tiny and portable and a great price.  please be sure, however, that you attach the sanding pad to the bottom...for some reason the hook-and-loop pad on the bottom of this device doesn't stand up so well when there's no sanding paper attached.  go figure..",268
1,"lol, what do you say?

i'd say this is a great product for the price.i bought this to replace the schlage 32-60-8 bulb that i replaced with this one.  it works great, and the size is perfect.  i used it for the kitchen and kitchen tables.  i did have to replace the bulb on the kitchen countertop.  i just installed it with the original led bulbs and it works great!  i would recommend this product for any kitchen",414
1,"i really hate to give this to my cat, but i will keep it for the next couple of months.my dogs love this food.  my dog eats it in a very large bowl.  i mix it in with a fresh dog food.  this is a great way to keep your dog's digestive system healthy and healthy.  i have a dog with a strong appetite and she is very picky about food.  i mix it in with her food and she will eat it for a few hours.  i would recommend this food to anyone who has a dog with a strong appetite.  i am happy with this product and it has",515
0,matched right up to both my camera tripod and my new bushnell ultra hd 10x 42 roof prisms.,90
1,i have 4 of these and have been using them for a month now.  i have one broken in two places.  i am considering getting another one.  i have 4 other broken saws and this one will be a perfect replacement.  this saw is excellent.  the quality of the finish is excellent.  i have several blades in the shop and this one has all been good.  this saw has a nice feel to it and i like that it has a better feel for the,413
0,"the soloist is a fine novel, interweaving three stories that all center on the narrator: the rise and fall of a child prodigy cellist, the sole member of a jury at a murder trial who finds meaning in a defendent's case, and a teacher of a budding, gifted young korean cellist.  each story has its own cast of characters beautifully realized, but most important - each aspect of this tripartite novel is told with such informed authority that imagining the author in anything but an autobiographical mode is next to impossible.  just as in his previous novel lying awake which dealt with  the inner thoughts of a cloistered nun, salzman here shows us he has a thorough understanding of music, music making, and the sociology and philosophy of our court system and our education system.  not that he stops at reportage. hardly!  it is simply his depth of knowledge about everything he writes make his novels deeply committed and inspiring.  the reason for writing the soloist is probably one of encouraging his readers to live in the moment.  but it is the loving manner of relating his tale that gets us there, almost without knowing we've arrived.  a fine book to encourage a whole town (pasadena) to read and share as is the goal here.  well worth anyone's time.",1263
0,the writing was superb and the characters had depth.  it was a very enjoyable read.  wish all authors could write as superbly.,126
1,"this is the only lube that will work with the stove.

the only reason i gave this a 4 stars is because i am a firm believer that if you don't get it right it will hurt your hand.",178
1,this book was very helpful and helped me with my own class.  i have read all the books in this series and can say that i have enjoyed the first one a,149
0,nice starter ping pong bats. it hits well and seems durable.,60
0,i have read all of this series so far pretty much the same but i so enjoy the reading them keep up the good work,112
0,"great informative book on investing advice. the book is well-written and very helpful in terms of proving investing advice to beginners. money management, according to the author is one of the most important things that a person should be aware of before investing. easy to understand basics for beginners!",306
1,"as the saying goes ""you can't go wrong with these"" it's a great product. the finish is top notch and the look is perfect. the product was great and it's worth the price. highly recommend. i was skeptical about the price of this product.",236
0,"my boston terrier has megaesophogus which causes regurgitation of food eaten hours earlier.  it's a must that i have a harness that falls below the throat while walking him as this exacerbates his condition.  with this ""step-in"" harness, it sits low on his chest yet does a good job of holding him back.  putting the harness on can be a bit of a challenge but i've figured that out rather quickly.  there is a bit of stretch after a month or 2 of use but not enough to make the harness useless.  and you can tighten it if you need to. all in all i am very pleased.",564
0,i hated this film. it was not my favorite zac efron movie.,58
1,"enjoyed re-acquainting myself with tintin, and the fact that it was a prequel",77
0,it started out good and became a nail bighter. read this you won't  be disappointed. i'm  getting the next one soon as i can.,125
0,"slow in starting,difficult to understand-- especially the dialogue--in the beginning; but gradually drawing the viewer more and more into the multifaceted plot. in the end the very human characterizations reward the viewer with a very  satisfactory sense of resolution.",269
1,this one is perfect for me. the quality is just right.  the only reason i ordered this,86
0,"comfy and fits the crate!
i cant wash it in my top load washer so i take it to the laundry mat every now and then. not the beds fault, i just have an old washer.
i also got one for my brothers dog and she loves it! cant find a better bed for a better price!",257
0,enjoy the continued story and the way you are drawn into the characters. good book and look forward to the next one!,116
1,"""look, it's superman!"" he's back, and the only way you can see it is through the screen. the movie is a lot of fun to watch, and the first two minutes are truly worth the time it takes to watch it. if you enjoy the movie, you'll love this one. great show. i will watch it again. great moviei love this series!  i love the characters, the story, the characters and the acting. it's very refreshing to watch it again!  i hope the series continues. i love this series!  i am a big fan of it and am glad i bought it!  i would not recommend this to anyone who is a fan of this series. however, i can say i am a big fan of the entire series. this show is the best of the bunch. i would recommend this to anyone who likes the characters and the plot. this is a movie that is very cute and very funny. it's funny and very good. i was very pleased with the price of this movie. i would have paid more, but it is a very good movie. this is a very interesting story of a young man who finds a beautiful young woman who is going to marry him. the young woman is a beautiful young woman. she is a young woman with a beautiful young man. she wants to marry him and he wants to marry her.",1173
0,"a reviewer mentioned most of the movie was filmed at night. dauh it's called a noir cool guy. this film isn't great by any means. i honestly don't know why people luv it so much. you gut a spineless guy being bullied to death by a mean girl & also you get 2 see his woman out in hollywood act like a b---- & tramp around in order to make it big.

both woman in this film got no redeeming qualities what so ever. the back story behind the original lead actor is pretty crazier. even crazier a guy named wade williams supposedly bought old movies. that i guess conveniently went into public domain not long after. he made some cash & re-made this film. it's nice to see someone be so passionate about a film.

i wish it had been a better 1, but the re-creation & great use of color is good. of course their are much better noir's out their in color & don't cost 50 dollars for a damn vhs. but hey i'm an obsessive collector. was the film worth 50 dollars. heck no. did i enjoy it. we'll yeah. it's sorta interesting seeing the lead man go from so dark. then flash back 2 him being all happy, bossed around nice guy 2 being all hard again like eastwood. it's quite amusing.

i honestly wish more classy noirs were made & not updated in anyway except color. it sucks i searched everywhere for a cheap bootleg hopefully on dvd. nope, all bootlegs are of the original film. most people hardly know this film exists.

oh trust me it does & it's a miracle it exists at all & i do get a smile on my face knowing i'm 1 of the only people who probably owns it. i'd suggest someone buying it. but whoops. just like with hoodlums & the big heist. looks like i got the only available copy. we'll sorry about that. maybe 1 day they'll get released. i've actually scene hoodlums available on some bootleg sites.",1795
1,"i love this set but it has a wide width which is a nice bonus. i am 5'6"" and the dress fit perfectly.",101
1,no problem here my doggies are not as crazy about these treats.  they just seem to like them.  great price and i will,117
0,neat game. it takes some thinking and trying to read what your opponent is trying to do.,88
1,bought as a gift for my wife and she loves it.  she also loves the fact that,76
0,my son loves these played w his turtles for hours,49
